SWEAT index,K index,Totals totals index,Date,TH,Environmental Stability,Moisture Indices,Convective Potential,Temperature Pressure,Moisture Temperature Profiles
91.2,-1.4,24.7,1981-01-01,0,25.8,22.8,0.0,5636,993.98
75.7,1.6,30.3,1981-01-02,0,21.5,20.4,0.0,5592,956.13
64.0,2.8,37.5,1981-01-03,0,1.9000000000000001,19.7,-259.7,5636,862.29
128.3,17.5,41.6,1981-01-04,0,13.8,23.8,0.0,5581,978.71
194.2,23.5,50.6,1981-01-05,0,4.0,28.6,-55.400000000000006,5578,965.77
151.4,25.4,43.8,1981-01-06,0,6.8999999999999995,33.2,-65.0,5648,975.72
287.4,35.7,53.8,1981-01-07,0,-6.0,32.2,677.6,5590,988.05
93.6,12.0,32.6,1981-01-08,0,16.799999999999997,25.5,0.0,5591,988.33
87.2,14.1,32.6,1981-01-09,0,14.399999999999999,23.0,24.4,5540,960.95
67.9,14.8,35.0,1981-01-10,0,23.9,24.1,0.0,5603,928.51
64.0,22.6,29.5,1981-01-11,0,13.8,22.0,0.0,5599,936.57
89.9,22.1,42.4,1981-01-12,0,11.2,24.0,0.0,5566,947.49
73.6,21.1,47.4,1981-01-13,0,0.8,20.2,-76.3,5530,968.61
73.7,0.8,35.0,1981-01-14,0,15.7,19.5,0.0,5545,958.6
58.2,-2.6,29.9,1981-01-15,0,18.8,22.0,0.0,5623,961.07
52.4,1.2,35.2,1981-01-16,0,26.9,18.5,0.0,5640,953.63
36.9,2.0,35.8,1981-01-17,0,22.8,21.0,0.0,5642,963.73
44.6,-2.4,31.4,1981-01-18,0,24.4,20.5,0.0,5648,961.07
127.8,17.0,40.2,1981-01-19,0,16.1,22.9,0.0,5579,947.49
95.7,17.5,42.0,1981-01-20,0,10.5,22.2,-101.7,5546,960.95
99.5,10.7,37.0,1981-01-21,0,15.6,24.2,-115.1,5583,955.61
87.3,7.4,32.3,1981-01-22,0,14.100000000000001,17.1,0.0,5581,958.48
75.7,3.0,29.1,1981-01-23,0,18.5,19.2,0.0,5607,933.43
67.9,20.4,44.7,1981-01-24,0,-4.4,23.1,321.0,5569,973.25
127.4,19.2,46.6,1981-01-25,0,6.1,21.0,0.0,5628,814.53
162.4,31.0,47.4,1981-01-26,0,8.7,30.8,0.0,5595,968.37
129.0,12.6,49.4,1981-01-27,0,1.2999999999999998,22.9,36.5,5591,965.59
140.1,9.6,43.0,1981-01-28,0,7.300000000000001,20.6,0.0,5608,963.12
114.1,9.2,35.2,1981-01-29,0,8.7,24.3,-354.7,5671,876.33
180.6,29.8,49.4,1981-01-30,0,5.6000000000000005,31.7,0.0,5656,983.26
337.6,36.0,54.6,1981-01-31,1,-4.5,36.9,774.3,5677,980.42
306.8,36.5,53.2,1981-02-01,1,-5.800000000000001,33.2,0.0,5583,1000.96
56.3,13.8,38.5,1981-02-02,0,3.8,23.8,6.399999999999999,5596,990.55
